date,open,high,low,close,volume,adjusted
31/12/2009,1126.599976,1127.640015,1114.810059,1115.099976,2076990000,1115.099976
04/01/2010,1116.560059,1133.869995,1116.560059,1132.98999,3991400000,1132.98999
05/01/2010,1132.660034,1136.630005,1129.660034,1136.52002,2491020000,1136.52002
06/01/2010,1135.709961,1139.189941,1133.949951,1137.140015,4972660000,1137.140015
07/01/2010,1136.27002,1142.459961,1131.319946,1141.689941,5270680000,1141.689941
08/01/2010,1140.52002,1145.390015,1136.219971,1144.97998,4389590000,1144.97998
11/01/2010,1145.959961,1149.73999,1142.02002,1146.97998,4255780000,1146.97998
12/01/2010,1143.810059,1143.810059,1131.77002,1136.219971,4716160000,1136.219971
13/01/2010,1137.310059,1148.400024,1133.180054,1145.680054,4170360000,1145.680054
14/01/2010,1145.680054,1150.410034,1143.800049,1148.459961,3915200000,1148.459961
15/01/2010,1147.719971,1147.77002,1131.390015,1136.030029,4758730000,1136.030029
19/01/2010,1136.030029,1150.449951,1135.77002,1150.22998,4724830000,1150.22998
20/01/2010,1147.949951,1147.949951,1129.25,1138.040039,4810560000,1138.040039
21/01/2010,1138.680054,1141.579956,1114.839966,1116.47998,6874290000,1116.47998
22/01/2010,1115.48999,1115.48999,1090.180054,1091.76001,6208650000,1091.76001
25/01/2010,1092.400024,1102.969971,1092.400024,1096.780029,4481390000,1096.780029
26/01/2010,1095.800049,1103.689941,1089.859985,1092.170044,4731910000,1092.170044
27/01/2010,1091.939941,1099.51001,1083.109985,1097.5,5319120000,1097.5
28/01/2010,1096.930054,1100.219971,1078.459961,1084.530029,5452400000,1084.530029
29/01/2010,1087.609985,1096.449951,1071.589966,1073.869995,5412850000,1073.869995
01/02/2010,1073.890015,1089.380005,1073.890015,1089.189941,4077610000,1089.189941
02/02/2010,1090.050049,1104.72998,1087.959961,1103.319946,4749540000,1103.319946
03/02/2010,1100.670044,1102.719971,1093.969971,1097.280029,4285450000,1097.280029
04/02/2010,1097.25,1097.25,1062.780029,1063.109985,5859690000,1063.109985
05/02/2010,1064.119995,1067.130005,1044.5,1066.189941,6438900000,1066.189941
08/02/2010,1065.51001,1071.199951,1056.51001,1056.73999,4089820000,1056.73999
